timestamp,heart_rate,spo2,body_temperature,ambient_temperature,humidity,activity_level,rppg_quality,sensor_quality
2026-08-31T09:00:00,70,98,36.5,28,55,resting,0.95,0.96
2026-08-31T09:05:00,72,98,36.6,28,55,resting,0.94,0.95
2026-08-31T09:10:00,71,99,36.6,29,56,resting,0.96,0.96
2026-08-31T09:15:00,74,98,36.7,29,56,walking,0.93,0.94
2026-08-31T09:20:00,73,98,36.6,30,58,walking,0.92,0.94
2026-08-31T09:25:00,76,98,36.7,31,60,walking,0.91,0.93
2026-08-31T12:00:00,86,97,36.8,34,68,walking,0.88,0.91
2026-08-31T12:05:00,91,97,36.9,35,70,walking,0.86,0.90
2026-08-31T12:10:00,96,96,37.0,35,72,walking,0.84,0.89
2026-08-31T12:15:00,101,96,37.1,36,74,walking,0.82,0.88
2026-08-31T12:20:00,104,95,37.2,36,75,walking,0.80,0.87
